Session,Year,Programming Exp,Laptop,Blood Group,DataCamp Granted Date,2023 Contest Perticipated,SIM
2021-2022,1st year,Yes,Yes - Laptop,A+,No,,GP
2021-2022,1st year,No,Yes - Laptop,A+,08/03/2023,,Airtel
2020-2021,2nd year,Yes,Yes - Laptop,AB+,12/04/2023,,GP
2020-2021,2nd year,No,Yes - Laptop,O+,18/02/2023,Yes,Robi
2018-2019,4th year,Yes,Yes - Laptop,A+,No,,Robi
2019-2020,3rd year,Yes,Yes - Laptop,B+,No,,Robi
2019-2020,3rd year,Yes,Yes - Laptop,A+,03/02/2023,Yes,Teletalk
2020-2021,2nd year,Yes,Yes - Laptop,AB+,13/02/2023,,Robi
2020-2021,2nd year,No,No - But planning to buy,A+,18/02/2023,Yes,GP
2020-2021,2nd year,Yes,Yes - Laptop,B (+ve),03/02/2023,,Robi
2018-2019,4th year,Yes,Yes - Laptop,O+,08/03/2023,,Robi
2021-2022,1st year,No,No,O+,18/02/2023,,GP
2021-2022,2nd year,Yes,Yes - Laptop,B+,18/02/2023,Yes,Robi
2021-2022,1st year,No,Yes - Laptop,O+,08/03/2023,,GP
2018-2019,4th year,Yes,Yes - Laptop,B+,08/03/2023,,Robi
2021-2022,1st year,No,No - But I can manage,A+,No,,GP
2021-2022,1st year,No,Yes - Laptop,A+,,,Blink
2019-2020,3rd year,No,Yes - Laptop,AB+,18/02/2023,,GP
2021-2022,1st year,No,No - But planning to buy,B+,08/03/2023,,Blink
2019-2020,3rd year,No,Yes - Laptop,AB+,,,Teletalk
2020-2021,2nd year,No,No - But I can manage,A+,03/02/2023,Yes,Robi
2017-2018,Master's,Yes,Yes - Laptop,O+,,,GP
2020-2021,2nd year,No,Yes - Laptop,B+,,,Robi
2021-2022,1st year,Yes,Yes - Laptop,O+,18/02/2023,,Airtel
2020-2021,2nd year,No,Yes - Laptop,B+,08/03/2023,,Robi
2019-2020,3rd year,No,Yes - Laptop,B+,03/02/2023,,GP
2021-2022,1st year,No,No - But planning to buy,O+,No,,GP
2021-2022,1st year,Yes,Yes - Laptop,A+,No,,Airtel
